Release ,of ,,Normal Dataset ,,,Abnormal ,Dataset ,,
Version ,# tags ,File (CSV) ,Duration (hours) ,Size (MB) ,File (CSV) ,# of attack ,Duration (hours) ,Size (MB) ,
,,end-train1 hai-train1 ,78 ,250.5 154.9 ,end-test1 hai-test1 ,14 ,15 ,48.2 29.8 ,
,,end-train2 ,,260.7 ,end-test2 ,,,204.8 ,
HAIEnd 23.05 ,225 ,hai-train2 ,81 ,161.3 ,hai-test2 ,38 ,64 ,126.8 ,
HAI 23.05 ,86 ,end-train3 ,,112.7 ,,,,,
,,hai-train3 ,35 ,69.4 ,,,,,
,,end-train4 ,55 ,"176,0" ,,,,,
,,hai-train4 ,,109.2 ,,,,,
,,Sum ,249 ,"799,9" 494.8 ,Sum ,52 ,79 ,"253,0" 156.6 ,
,,train1 ,26 ,50.7 ,test1 ,7 ,24 ,48.2 ,
,,train2 ,56 ,"108,9" ,test2 ,17 ,23 ,"44,5" ,
,,train3 ,35 ,66.7 ,test3 ,10 ,17.3 ,"33,4" ,
HAI 22.04 ,86 ,train4 ,24 ,45.7 ,test4 ,24 ,36 ,69.5 ,
,,train5 ,66 ,125.6 ,,,,,
,,train6 ,72 ,"136,8" ,,,,,
,,Sum ,279 ,"534,4" ,Sum ,58 ,100.3 ,195.6 ,
,,train1 ,60 ,110 ,test1 ,5 ,12 ,22 ,
,,train2 ,63 ,116 ,test2 ,20 ,33 ,61 ,
HAI 21.03 ,78 ,train3 ,229 ,245 ,test3 ,8 ,30 ,55 ,
,,,,,test4 ,5 ,11 ,20 ,
,,,,,test5 ,12 ,26 ,47 ,
,,Sum ,352 ,471 ,Sum ,50 ,112 ,205 ,
,,train1 ,86 ,127 ,test1 ,28 ,81 ,119 ,
HAI 20.07 ,59 ,train2 ,91 ,98 ,test2 ,10 ,42 ,62 ,
,,Sum ,177 ,225 ,Sum ,38 ,123 ,181 ,


