No ,Name ,,Range ,Unit ,Description ,,HAI ,,
,,Min ,Max ,,,20.07 ,21.03 ,22.04 23.05 ,
51 ,P2_MASW_Lamp ,0 ,1 ,Boolean ,Lamp of Manual SW ,,,,
52 ,P2_ManualGO ,0 ,1 ,Boolean ,Manual start button ,,,,
53 ,P2_ManualSD ,0 ,"3,200" ,RPM ,Manual speed demand ,,,,
54 ,P2_OnOff ,0 ,1 ,Boolean ,On/off switch of the turbine DCS ,(On) ,,,
55 ,P2_RTR ,0 ,"2,880" ,RPM ,RPM trip rate ,,X ,,
56 ,P2_SCO ,0 ,"100,000" ,- ,Control output value of the speed controller ,,X ,,
57 ,P2_SCST ,-100 ,100 ,RPM ,Speed change proportional to frequency change of the STM ,,,,
58 ,P2_SIT01 ,0 ,"3,200" ,RPM ,Current turbine RPM measured by speed probe ,,,,
59 ,P2_TripEx ,0 ,1 ,Boolean ,Trip emergency exit button ,,,,
60 ,P2_VIBTR01 ,-10 ,10 ,um ,Shaft-vibration-related Y-axis displacement near the 1st mass wheel ,(VYT02) ,X ,,
61 ,P2_VIBTR02 ,-10 ,10 ,um ,Shaft-vibration-related X-axis displacement near the 1st mass wheel ,(VXT02) ,X ,X ,
62 ,P2_VIBTR03 ,-10 ,10 ,um ,Shaft-vibration-related Y-axis displacement near the 2nd mass wheel ,(VYT03) ,X ,X ,
63 ,P2_VIBTR04 ,-10 ,10 ,um ,Shaft-vibration-related X-axis displacement near the 2nd mass wheel ,(VXT03) ,X ,,
64 ,P2_VT01 ,11 ,12 ,rad/s ,Phase lag signal of the key phasor probe ,X ,X ,,
65 ,P2_VTR01 ,-10 ,10 ,um ,Preset vibration limit for the sensor P2_VIBTR01 ,,X ,,
66 ,P2_VTR02 ,-10 ,10 ,um ,Preset vibration limit for the sensor P2_VIBTR02 ,,X ,,
67 ,P2_VTR03 ,-10 ,10 ,um ,Preset vibration limit for the sensor P2_VIBTR03 ,,X ,,
68 ,P2_VTR04 ,-10 ,10 ,um ,Preset vibration limit for the sensor P2_VIBTR03 ,,X ,,
69 ,P3_FIT01 ,0 ,"27,648" ,- ,Flow rate of water flowing into the upper water tank ,,X ,,
70 ,P3_LCP01D ,0 ,"27,648" ,- ,Speed command for the pump LCP01 ,X ,X ,,
71 ,P3_LCV01D ,0 ,"27,648" ,- ,Position command for the valve LCV01 ,X ,,,
72 ,P3_LH01 ,0 ,70 ,% ,High water level set-point ,X ,,,
73 ,P3_LIT01 ,0 ,90 ,% ,Water level of the upper water tank ,X (LT01) ,,,
74 ,P3_LL01 ,0 ,70 ,% ,Low water level set-point ,X ,X ,,
75 ,P3_PIT01 ,0 ,"27,648" ,- ,Pressure of water flowing into the upper water tank ,,,X ,
76 ,P4_HT_FD ,-0,02 ,0.02 ,mHz ,Frequency deviation of HTM ,X ,,,
77 ,P4_HT_LD ,0 ,100 ,MW ,Electrical load demand of HTM ,X ,,,
78 ,P4_HT_PO ,0 ,100 ,MW ,Output power of HTM ,X ,,,


