No ,Name ,,Range ,Unit ,Description ,,HAI ,,
,,Min ,Max ,,,20.07 ,21.03 ,22.04 23.05 ,
79 ,P4_HT_PS ,0 ,100 ,MW ,Scheduled power demand of HTM ,X ,X ,X ,
80 ,P4_LD ,0 ,500 ,MW ,Total electrical load demand ,X ,X ,X ,
81 ,P4_ST_FD ,-0,02 ,0.02 ,Hz ,Frequency deviation of STM ,X ,X ,X ,
82 ,P4_ST_GOV ,0 ,"27,648" ,- ,Gate opening rate of STM ,,X ,X ,
83 ,P4_ST_LD ,0 ,500 ,MW ,Electrical load demand of STM ,X ,X ,X ,
84 ,P4_ST_PO ,0 ,500 ,MW ,Output power of STM ,X ,X ,X ,
85 ,P4_ST_PS ,0 ,500 ,MW ,Scheduled power demand of STM ,X ,X ,X ,
86 ,P4_ST_PT01 ,0 ,"27,648" ,- ,Digital value of steam pressure of STM ,X ,X ,X ,
87 ,P4_ST_TT01 ,0 ,"27,648" ,- ,Digital value of steam temperature of STM ,X ,X ,X ,
,,,,TOTAL ,,59 ,78 ,86 ,


No ,Name ,,Range ,Unit ,Description ,HAIEnd ,HAI ,
,,Min ,Max ,,,23.05 ,23.05 ,
1 ,1001.02-OUT ,X - ,X - ,X - ,Output of 1001.02 ,X ,,
2 ,1001.05-OUT ,- ,X - ,X - ,Output of 1001.05 ,X ,,
3 ,1001.07-OUT1 ,- ,X - ,X - ,Output of 1001.07 ,X ,,
4 ,1001.07-OUT2 ,- ,X - ,X - ,Output of 1001.07 ,X ,,
5 ,1001.08-OUT ,- ,X - ,X - ,Output of 1001.08 ,X ,,
6 ,1001.09-OUT ,- ,X - ,X - ,Output of 1001-.9 ,X ,,
7 ,1001.13-OUT ,- ,X - ,X - ,Output of 1001.13 ,X ,,
8 ,1001.14-OUT ,X - ,X - ,X - ,Output of 1001.14 ,X ,,
9 ,1001.15-OUT ,- ,X - ,X - ,Output of 1001.15 ,X ,X (P1_B2016) ,
10 ,1001.16-OUT ,X - ,X - ,X - ,Output of 1001.16 ,X ,,
11 ,1001.17-OUT ,- ,X - ,X - ,Output of 1001.17 ,X ,,
12 ,1001.20-OUT ,- ,X - ,X - ,Output of 1001.20 ,X ,,


