Version ,Release Date ,Changes ,Page(s) ,
,,Major revision for HAI 23.05 ,,
,,+ History and quantitative summary for HAI/HAIEnd 23.05 ,01 ,
,,+ Brief description of the boiler process control ,06 ,
,,+ Detailed description of the control logic for pressure control ,08-09 ,
v4.0 ,May "31," 2023 ,+ 255 more data points for HAIEnd 23.05 ,15-23 ,
,,+ 16 more attack scenarios ,25-2 ,
,,+ Details of HAI/HAIEnd 23.05 ,30-32 ,
,,+ Case studies with NetworkX graphs ,42-46 ,
,,+ Citing datasets ,47 ,
,,Major revision for HAI 22.04 ,,
,,+ Version history for HAI "22,04" ,01 ,
,,+ Brief description of the boiler cooling system ,03-05 ,
,,+ Detailed description of the boiler cooling controller ,08 ,
v3.0 ,Apr. "29," 2022 ,+ 8 more data points ,12 14 ,
,,+ 12 more attack scenarios ,25 28 ,
,,+ Correct some errors on the attack scenarios ,,
,,+ Details of HAI 22.04 ,33 35 ,
,,+ Citing datasets ,47 ,
,,Major revision for HAI 21.03 ,,
,,+ Brief description of the turbine trip control ,10 ,
,,+ 19 more data points ,12 14 ,
v2.0 ,Feb. "17," 2021 ,+ 11 more attack scenarios ,25 28 ,
,,- Description related to multiple attacks ,25 28 ,
,,+ Details of HAI 21.03 ,36 38 ,
,,+ Changes to HAI 20.07 ,38 41 ,
,,Minor revision for HAI 20.07 ,,
v1.1 ,Jul. "22," 2020 ,+ New version numbering scheme ,All ,
,,+ Value ranges and description of data points ,12 15 ,
,,+ Time duration in attack timetable ,39 40 ,
v1.0 ,Feb. "17," 2020 ,Initial release for HAI v1.0 (20.02) ,All ,


