No ,Name ,,Range ,Unit ,Description ,HAIEnd ,HAI ,
,,Min ,Max ,,,23.05 ,23.05 ,
125 ,1011.33-OUT ,- ,X - ,X - ,Output of 1011.33 ,,,
126 ,1011.35-OUT ,- ,- ,X - ,Output of 1011.35 ,X ,,
127 ,1011.38-OUT ,- ,X - ,X - ,Output of 1011.38 ,,,
128 ,1011.39-OUT ,- ,- ,X - ,Output of 1011.39 ,,,
129 ,1011.41-OUT ,- ,X - ,X - ,Output of 1011.41 ,X ,,
130 ,1011.42-OUT ,- ,X - ,X - ,Output of 1011.42 ,X ,,
131 ,1011.44-OUT ,- ,- ,X - ,Output of 1011.44 ,X ,,
132 ,1011.46-OUT ,- ,- ,X - ,Output of 1011.46 ,,,
133 ,1011.47-OUT ,- ,X - ,X - ,Output of 1011.47 ,X ,,
134 ,1011.50-OUT ,- ,- ,X - ,Output of 1011.50 ,X ,,
135 ,1011.54-OUT ,- ,X ,X - ,Output of 1011.54 ,X ,,
136 ,1011.56-OUT ,- ,- ,X - ,Output of 1011.56 ,X ,,
137 ,1020.02-OUT ,- ,X ,X - ,Output of 1020.02 ,X ,,
138 ,1020.03-OUT ,- ,- ,X - ,Output of 1020.03 ,X ,,
139 ,1020.04-OUT ,- ,X - ,X - ,Output of 1020.04 ,X ,,
140 ,1020.05-OUT1 ,- ,- ,X - ,Output of 1020.05 ,X ,,
141 ,1020.05-OUT2 ,- ,X - ,X - ,Output of 1020.05 ,X ,,
142 ,1020.09-OUT ,- ,- ,X - ,Output of 1020.09 ,X ,,
143 ,1020.10-OUT ,- ,- ,X - ,Output of 1020.10 ,X ,,
144 ,1020.11-OUT ,- ,X - ,X - ,Output of 1020.11 ,,,
145 ,1020.13-OUT ,- ,- ,X - ,Output of 1020.13 ,X ,,
146 ,1020.14-OUT ,- ,X - ,X - ,Output of 1020.14 ,,,
147 ,1020.15-OUT ,- ,X - ,X - ,Output of 1020.15 ,X ,,
148 ,1020.18-OUT ,- ,- ,X - ,Output of 1020.18 ,X ,,
149 ,1020.20-OUT ,- ,X - ,X - ,Output of 1020.20 ,X ,,
150 ,1020.21-OUT ,- ,- ,X - ,Output of 1020.21 ,X ,,
151 ,DM-AIT-DO ,- ,X - ,X - ,For maintenance ,X ,,
152 ,DM-AIT-PH ,- ,- ,- ,For maintenance ,X ,,


