No ,ID ,,Attack ,,Start ,Time ,Duration ,
,,Scenario ,Target Controller ,Target Point(s) ,,,(sec) ,
19 ,A212 ,AP35 ,P3-LC-CO1 ,P3_LCP01D ,,8:11 ,55 ,
20 ,A213 ,AP24 ,P1-CC-CO1-ST ,P1_PP04 ,,10:35 ,80 ,
21 ,A214 ,AP39 ,P3-LC-CO2-LT ,P3 LCV01D ,,11:23 ,613 ,
22 ,A215 ,AP09 ,P1-FC-SP1PV1 ,P1_B3005, P1_FT03 ,,12:17 ,168 ,
23 ,A216 ,AP01 ,P1-PC-SP1 ,P1_B2016 ,,13:52 ,,
,,AP08 ,P1-FC-SP1 ,P1_B3005 ,,,158 ,
24 ,A217 ,AP10 ,P1-FC-CO1 ,P1_FCV03D ,,14:31 ,98 ,
25 ,A301 ,AP16 ,P3-LC-CO2 ,P2_LCV01D ,,18:21 ,,
,,AP10 ,P1-FC-CO1 ,P1_FCV03D - ,,,348 ,
26 ,A302 ,AP15 ,P1-LC-SP1PV1 ,P1_LCV01D ,,20:16 ,358 ,
27 ,A303 ,AP17 ,P1-LC-CO1PV1 ,P1_B3004. P1_LITO1 ,,,,
,,AP37 ,P3-LC-CO2 ,P3_LCV01D ,,23:22 ,143 ,
28 ,A304 ,AP38 ,P3-LC-CO2PV1 ,P1_LCV01D.P1_LITO1 ,,1:41 ,91 ,
29 ,A305 ,AP18 ,P1-LC-CO1-ST ,P3_LCV01D ,,2:09 ,94 ,
30 ,A306 ,AP04 ,P1-PC-CO1 ,P1_LCV01D ,,3:37 ,353 ,
,,AP15 ,P1-LC-SP1PV1 ,P1_B3004. P1_LITO1 ,,,,
31 ,A307 ,AP20 ,P1-TC-CO1PV1 ,P1_FCV01D.P1_TIT01 ,,5:35 ,151 ,
32 ,A308 ,AP05 ,P1-PC-CO1PV1 ,P1_PCV01D, P1_PIT01 ,,6:53 ,173 ,
,,AP23 ,P1-CC-CO1 ,P1_PP04 ,,,,
33 ,A309 ,AP08 ,P1-FC-SP1 ,P1_B3005 ,,7:42 ,96 ,
,,AP19 ,P1-TC-CO1 ,P1_FCV01D ,,,,
34 ,A310 ,AP35 ,P3-LC-CO1 ,P3_LCP01D ,Jul. "15," ,9:52 ,2024 ,
,,AP37 ,P3-LC-CO2 ,P3_LCV01D ,2021 ,,,
35 ,A401 ,AP28 ,P2-SC-SP2 ,P2_ManualSD ,,12:42 ,38 ,
36 ,A402 ,AP21 ,P1-TC-CO1-ST ,P1_FCV01D ,,13:20 ,88 ,
37 ,A403 ,AP34 ,P2-TC-SP3 ,P2_RTR ,,13:57 ,96 ,
38 ,A404 ,AP26 ,P2-SC-SP1 ,P2_AutoSD ,,15:08 ,97 ,
,,AP37 ,P3-LC-CO2 ,P3_LCV01D ,,,,
39 ,A405 ,AP22 ,P1-TC-SP1-LT ,P1_B4002 ,,16:07 ,505 ,
40 ,A406 ,AP09 ,P1-FC-SP1PV1 ,P1_B3005, P1_FT03 ,,17:22 ,186 ,
,,AP19 ,P1-TC-CO1 ,P1_FCV01D ,,,,
41 ,A407 ,AP13 ,P1-FC-CO1-ST ,P1_FCV03D ,,19:45 ,122 ,


