No ,ID ,,Attack ,,,,Duration ,
,,Scenario ,Target Controller ,Target Point(s) ,Start ,Time ,(sec) ,
,,AP12 ,P1-LC-SP1PV1 ,P1_B3004, 11_LIT01 ,2020 ,,,
35 ,A402 ,AP07 ,P1-FC-SP1PV1 ,P1_B3005, P1_FT03 ,,,,
,,AP25 ,P3-LC-CO2 ,P2_LCV01D ,,13:45 ,262 ,
36 ,A403 ,AP12 ,P1-LC-SP1PV1 ,P1_B3004, P1_LITO1 ,,,,
,,AP25 ,P3-LC-CO2 ,P2_LCV01D ,,15:57 ,263 ,
37 ,A404 ,AP19 ,P2-SC-CO1PV1 ,P2_SCO, P2_SIT01 ,,,,
,,AP14 ,P1-LC-CO1PV1 ,P1_LCV01D, P1_LIT01 ,,17:45 ,258 ,
38 ,A405 ,AP20 ,P2-SC-SP1-ST ,P2_AutoSD ,,,,
,,AP25 ,P3-LC-CO2 ,P2_LCV01D ,,20:47 ,120 ,
39 ,A501 ,AP03 ,P1-PC-CO1 ,P1_PCV01D ,,,,
,,AP22 ,P2-TC-SP2 ,P2_VTR02 ,,11:16 ,172 ,
40 ,A502 ,AP09 ,P1-FC-CO1PV1 ,P1_FCV03D, P1_FT03 ,,,,
,,AP18 ,P2-SC-CO1 ,P2_SCO ,,13:30 ,258 ,
41 ,A503 ,AP12 ,P1-LC-SP1PV1 ,P1_B3004, P1_LITO1 ,,,,
,,AP18 ,P2-SC-CO1 ,P2_SCO ,,16:05 ,256 ,
42 ,A504 ,AP08 ,P1-FC-CO1 ,P1_FCV03D ,Jul. "30," ,,,
,,AP25 ,P3-LC-CO2 ,P2_LCV01D ,2020 ,17:45 ,120 ,
43 ,A505 ,AP11 ,P1-LC-SP1 ,P1_B3004 ,,,,
,,AP20 ,P2-SC-SP1-ST ,P2_AutoSD ,,18:38 ,203 ,
44 ,A506 ,AP19 ,P2-SC-CO1PV1 ,P2_SCO, P2_SIT01 ,,,,
,,AP25 ,P3-LC-CO2 ,P2_LCV01D - ,,20:42 ,153 ,
45 ,A507 ,AP20 ,P2-SC-SP1-ST ,P2_AutoSD ,,,,
,,AP21 ,P2-TC-SP1 ,P2_VTR01 ,,23:13 ,79 ,
46 ,A508 ,AP10 ,P1-FC-CO1-ST ,P1_FCV03D ,,,,
,,AP15 ,P1-LC-CO1-ST ,P1_LCV01D - ,,01:15 ,51 ,
47 ,A509 ,AP01 ,P1-PC-SP1 ,P1_B2016 ,,,,
,,AP03 ,P1-PC-CO1 ,P1_PCV01D ,,02:01 ,241 ,
48 ,A510 ,AP11 ,P1-LC-SP1 ,P1_B3004 ,Jul. "31," ,,,
,,AP14 ,P1-LC-CO1PV1 ,P1_LCV01D, P1_LIT01 ,2020 ,09:54 ,262 ,
49 ,A511 ,AP23 ,P2-TC-SP3 ,P2_RTR ,,10:40 ,,
,,AP25 ,P3-LC-CO2 ,P2_LCV01D ,,,120 ,
50 ,A512 ,AP06 ,P1-FC-SP1 ,P1_B3005 ,,,,
,,AP09 ,P1-FC-CO1PV1 ,P1_FCV03D, P1_FT03 ,,11:21 ,262 ,


