No ,,,Setpoint ,,,,,
,P1 B 2004 (Pressure SP) ,P1 B3004 (Level SP) ,P1 B3005 (Flowrate SP) ,P1_B4002 (Temperature SP) ,P4_ST_PS (Scheduled Power) ,P4_HT_PS (Scheduled Power) ,Start Time ,
1 ,0.1 (+0.002) ,460 (+20) ,"1,100" (+22) ,32 (+0) ,0 (+0) ,0 (+0) ,7:00 (+0) ,
2 ,0.03 (+0.002) ,400 (+8) ,"1,100" (+22) ,32 (+0) ,0 (+0) ,0 (+0) ,9:00 (+0) ,
3 ,0.1 (+0.002) ,400 (+8) ,"1,100" (+22) ,31 (+1) ,0 (+0) ,0 (+0) ,11:00 (+0) ,
4 ,0.1 (+0.002) ,400 (+8) ,"1,000" (+100) ,32 (+0) ,0 (+0) ,0 (+0) ,13:00 (+0) ,
5 ,0.1 (+0.002) ,400 (+8) ,"1,100" (+22) ,32 (+0) ,50 (+5) ,0 (+0) ,15:00 (+0) ,


No ,,,,Setpoint ,,,,
,. B2004 (Pressure SP) ,P1 B3004 (Level SP) ,P1 B3005 (Flowrate SP) ,P1 B4002 (Temperature SP) ,P4_ST_PS (Scheduled Power) ,P4_HT_PS (Scheduled Power) ,Start Time ,
1 ,0.03 (+0.002) ,400 (+8) ,"1,100" (+22) ,32 (+0) ,0 (+0) ,0 (+0) ,00:00 (+0) ,
2 ,0.1 (+0.002) ,450 (+20) ,"1,100" (+22) ,32 (+0) ,0 (+0) ,0 (+0) ,10:00 (+0) ,
3 ,0.1 (+0.002) ,400 (+8) ,"1,100" (+22) ,32 (+1) ,0 (+0) ,0 (+0) ,14:00 (+0) ,
4 ,0.1 (+0.002) ,400 (+8) ,"1,000" (+100) ,32 (+0) ,0 (+0) ,0 (+0) ,16:00 (+0) ,
5 ,0.1 (+0.002) ,400 (+8) ,"1,100" (+22) ,32 (+0) ,50 (+5) ,0 (+0) ,22:00 (+0) ,


No ,ID ,,Attack ,,Start ,Time ,Duration ,
,,Scenario ,Target Controller ,Target Point(s) ,,,(sec) ,
1 ,A101 ,AP12 ,P1-LC-SP1PV1 ,P1_B3004, P1_LIT01 ,Oct. "29," ,13:40 ,370 ,
2 ,A102 ,AP13 ,P1-LC-CV1 ,P1_LCV01D ,2019 ,14:35 ,312 ,


