A ,,
APC ,ATTACK PROPAGATION CHAIN ,
C ,,
CV ,CONTROL VARIABLE ,
CC ,COOLING CONTROLLER ,
CO ,CONTROL OUTPUT ,
CP ,CONTROL PARAMETERER ,
D ,,
DCS ,DISTRIBUTED CONTROL SYSTEM ,
F ,,
FC ,FLOW CONTROLLER ,
FCV ,FLOW CONTROL VALVE ,
FIT ,FLOW INDICATOR TRANSMITTER ,
FT ,FLOW TRANSMITTER ,
H ,,
HH ,HIGH HIGH ,
HIL ,HARDWARE-IN-THE-LOOP ,
HMI ,HUMAN MACHINE INTERFACE ,
L ,,
LC ,LEVEL CONTROLLER ,
LCV ,LEVEL CONTROL VALVE ,
LIT ,LEVEL INDICATOR TRANSMITTER ,
LL ,LOW LOW ,
LLH ,LIQUID LEVEL [HIGH] ,
LLL ,LIQUID LEVEL [LOW] ,
LLN ,LIQUID LEVEL [NORMAL] ,
LSH ,LEVEL SWITCH [HIGH] ,
LSHL ,EVEL SWITCH [HIGH/LOW] ,
LSL ,LEVEL SWITCH [LOW] ,
LT ,EVEL TRANSMITTER ,
P ,,
PC ,PRESSURE CONTROLLER ,
PCL ,PROCESS CONTROL LOOP ,
PCV ,PRESSURE CONTROL VALVE ,
PIT ,PRESSURE INDICATOR TRANSMITTER ,


